Full company name,Payments to Governments Report,Country,Year
ABBAS GHAZNAVI LIMITED,36244514.0,Afghanistan,2018
ABID HASSAN ZADRAN LIMITED,1368092.0,Afghanistan,2018
AFGHAN SHININK MINES EXTRACTION AND PROCESSING COMPANY,163838.0,Afghanistan,2018
AFGHAN TALC LIMITED JOINT VENTURE,874463.0,Afghanistan,2018
ARIF SHAHAB LIMITED,1241150.0,Afghanistan,2018
AZIZ ULLAH,15498.0,Afghanistan,2018
DAWAJAN TAREEN LIMITED,32576054.0,Afghanistan,2018
HAYAT KHAN,114902.0,Afghanistan,2018
ITTIFAQ AZRAHWAL LIMITED,2258228.0,Afghanistan,2018
MOHAMMAD EDRIS,98609.0,Afghanistan,2018
"NANGARHAR AFGHAN TALC, MINES EXTRACTION AND PROCESSING COMPANY",1033720.0,Afghanistan,2018
NASEEB USMAN LIMITED,69022756.0,Afghanistan,2018
NEW RAHMAT INSAAF TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,1456229.0,Afghanistan,2018
PAIGHAM IRSHAAD LIMITED,9810230.0,Afghanistan,2018
PAYAM RAH E FARDA LIMITED,1839111.0,Afghanistan,2018
RAHIMI NEKA BROTHERS LIMITED,890045.0,Afghanistan,2018
SAID LAIQ HUSSAIN,56925.0,Afghanistan,2018
SANG SIYA AFGHANISTAN LIMITED,162095060.0,Afghanistan,2018
SAYED HASHIM MOSAWI,8156508.0,Afghanistan,2018
SHAIKH SAKHI KAMRAN LIMITED,159928.0,Afghanistan,2018
SHAMS UDDIN,33680.0,Afghanistan,2018
UMEED BAKHTIAR LIMITED,118770.0,Afghanistan,2018
VESTA CONSTRUCTION & CONSTRUCTION MATERIALS CO,217878.0,Afghanistan,2018
"احمد علی ولد خداداد, احمدعلی",15722.0,Afghanistan,2018
استخراج 10000مترمکعب ریگ وجغل توسط شرکت ساختمانی احداث EHDAS CONSTRUCTION AND GRAVEL COMPANY,1000.0,Afghanistan,2018
استخراج جغل خاکدار صالح ایجاز SALEH EJAZ GRAVEL EXTRACTION,1000.0,Afghanistan,2018
استخراج ریگ وجغل توسط شرکت ساختمانی افغان بتن AFGHAN BATN GRAVEL EXTRACTION COMPANY,1000.0,Afghanistan,2018
استخراج ریگ وجغل متین افغان MATEEN AFGHAN GRAVEL EXTRACTION,1000.0,Afghanistan,2018
استخراج معدن افغان گولد ومینرال AFGHAN GOLD MINERAL CO,68760.0,Afghanistan,2018
استخراج معدن امتیاز EMTIYAZ MINING CO,6000.0,Afghanistan,2018
اغا احمدی منرالز استخراج اوپروسس AGHA AHMADI MINERAL PRO CO,200.0,Afghanistan,2018
افغا ن کرستال نچرل ریسورسز AFGHAN CRISTAL NATURAL RESOURCES,49160.0,Afghanistan,2018
تولید وپروسس سنگ مرمرالیوسف پوپل AL YOSUF POPAL MARBLE PROCESSING COMPANY,1000.0,Afghanistan,2018
حبیب شهاب تا لک اومر مرواستخراج او پروسس شر کت HABIB SHAHAB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,7077406.0,Afghanistan,2018
د امین کریمزی د شوکانو او مرمرو داستخراج اوپروسس شرکت AMEEN KARIMZAI TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,13385234.0,Afghanistan,2018
سنترال آیزین مایننگ سرویسس کمپنی CENTRAL AIZEEN MINING CO,88795.0,Afghanistan,2018
شرکت استخراج معادن هیواد برادرز HEWAD BROTHERS MINING CO,2027271.0,Afghanistan,2018
شرکت استخراج معادن کابل KABUL MINING EXTRACTION COMPANY,15.0,Afghanistan,2018
شرکت استخراج معدن افغان تراورتین AFGHAN TRANWERTIN MINING CO,5.0,Afghanistan,2018
شرکت استخراج معدن پارمیس گلوبل PARMIS GLOBAL MINING CO,825.0,Afghanistan,2018
شرکت استخراج وپروسس سنگ عرفان غزنوی لمتید URFAN GHAZNAWI STONE PRO LTD,800.0,Afghanistan,2018
شرکت افغان کول ال ال سی AFGHAN COAL LLC,352416.0,Afghanistan,2018
شرکت امانیه مایننگ AMANIA MINING COMPANY,10719173.0,Afghanistan,2018
شرکت تولید مواد معدنی کابل کلسید KABUL CLASSID MINING PRODUCTION COMPANY,1000.0,Afghanistan,2018
شرکت خدمات انجنیری جیو و معادن افغانایت AFGHAN KNIGHT GEO & MINING CO,4586052.0,Afghanistan,2018
شرکت سرمایه گذاری معادن MINING INVESTMENT COMPANY,481908.0,Afghanistan,2018
شرکت مسعودعارف فقیرزاده,323200.0,Afghanistan,2018
شهاب محبوب تالک اومرمرو استخراج اوپروسس شرکت SSHAHAB MEHBOOB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,64325.0,Afghanistan,2018
"محمد یونس ولد محمد عیسی, محمد یونس",32060.0,Afghanistan,2018
نبی افغان دمعدن استخراج او پروسس شر کت NABI AFGHAN MINES EXTRACTION AND PROCESSING COMPANY,2694779.0,Afghanistan,2018
نصب ومنتاژیک دستگاه ریگریشن محمد سمیع MOHAMMAD SAMI REGRATION INSTALLMENT PLANT,1000.0,Afghanistan,2018
پروژه انتقال پایپ لاین گاز تاپی TAPI GAS TRANSMISSION PIPELINE PROJECT,25000.0,Afghanistan,2018
ABID HASSAN ZADRAN LIMITED,5832314.0,Afghanistan,2019
ALI MURADI AND IMRAN BAKHTIARI LIMITED,167548.0,Afghanistan,2019
ANWAR ALI AFGHAN ZADRAN LIMITED,7162180.0,Afghanistan,2019
ARIF WAQAR LIMITED,655340.0,Afghanistan,2019
AZIZ ULLAH,80604.0,Afghanistan,2019
DAWATAZI BALKYAAN LIMITED,110924.0,Afghanistan,2019
HALEEM KHAN TAREEN LIMITED,1529774.0,Afghanistan,2019
HASHMAT WALI MANDOZAI LIMITED,1990668.0,Afghanistan,2019
HIKMAT MOHAMMAD SHERZAD LIMITED,38778792.0,Afghanistan,2019
ITTIFAQ AZRAHWAL LIMITED,1913089.0,Afghanistan,2019
JANNAT NIZAM LIMITED,544410.0,Afghanistan,2019
KAMRAN BILAL TALC MINES EXTRACTION AND PROCESSING COMPANY,33129.0,Afghanistan,2019
KAMRAN HAROON LIMITED,4039109.0,Afghanistan,2019
KARIMI MAROOFKHEL LIMITED,1550017.0,Afghanistan,2019
KHUSRAW ATTAI LIMITED,690937.0,Afghanistan,2019
MILAD GHULAM MUSTAFA LIMITED,4126600.0,Afghanistan,2019
MINISTRY OF MINES AND PETROLEUM AGREEMENTS,2737098.0,Afghanistan,2019
MOHAMMAD EDRIS,31973.0,Afghanistan,2019
NATURAL SARF STONE PROCESSING COMPANY,22000.0,Afghanistan,2019
NAUMAN AADIL LIMITED,781970.0,Afghanistan,2019
NAUMAN ROMAAN SHERZAD LIMITED,2775822.0,Afghanistan,2019
NAVAY SANGAR ZADRAN LIMITED,1517565.0,Afghanistan,2019
NAVID ALI SHAH TRADING COMPANY,259634.0,Afghanistan,2019
OMAR ATTA LIMITED,10120289.0,Afghanistan,2019
OMID SABAWOON SAND AND GRAVEL PRODUCTION COMPANY,1000.0,Afghanistan,2019
PAIGHAM IRSHAAD LIMITED,167393.0,Afghanistan,2019
PAK ITTIFAQ LIMITED,5562598.0,Afghanistan,2019
PAYAM RAH E FARDA LIMITED,111008.0,Afghanistan,2019
RAHIMI NEKA BROTHERS LIMITED,26432745.0,Afghanistan,2019
RAHMAN ULLAH SPEENGHAR LIMITED,814913.0,Afghanistan,2019
SAID LAIQ HUSSAIN,62276.0,Afghanistan,2019
SANG SIYA AFGHANISTAN LIMITED,90617689.0,Afghanistan,2019
SAYAM BEHRAM LIMITED,2102871.0,Afghanistan,2019
SAYED NASIR TRADERS,4644048.0,Afghanistan,2019
SHAMS UDDIN,129587.0,Afghanistan,2019
SHAMSHIR OBAID TALC PROCESSING COMPANY,11000.0,Afghanistan,2019
STANDARD TALC EXTRACTION AND PROCESSING COMPANY,4768058.0,Afghanistan,2019
TARAAJ MINES MINERAL EXTRACTION AND PROCESSING COMPANY,10329.0,Afghanistan,2019
USMAN IZZAT LIMITED,112405595.0,Afghanistan,2019
WAZIRI MINES EXTRACTION AND PROCESSING COMPANY,88288.0,Afghanistan,2019
YASIR MOHMAND LIMITED,58424643.0,Afghanistan,2019
YUSUFI QAZIZADA SOAP AND TOMATO KETCHUP PRODUCTION COMPANY,41972.0,Afghanistan,2019
ZABIT SHAH GORBAZ LIMITED,6762819.0,Afghanistan,2019
ZAHID SAYED RAHMAN LIMITED,13827148.0,Afghanistan,2019
ZAITOON KHAN TRADING COMPANY,1714090.0,Afghanistan,2019
ZAKIR FAREED LIMITED,8116213.0,Afghanistan,2019
اغا احمدی منرالز استخراج اوپروسس AGHA AHMADI MINERAL PRO CO,24709.0,Afghanistan,2019
"افغان, محمد مسعود",879720.0,Afghanistan,2019
"باور خان, باور خان",44100.0,Afghanistan,2019
بلال موسی زی دمعدنی ډبرو استخراج او پروسس شرکت BILAL MUSAZAI MINERAL PROCESSING INDUSTRIAL COMPANY,29273036.0,Afghanistan,2019
تصدی کود برق بلخ KOD-E-BARQ BALK,31889270.0,Afghanistan,2019
حبیب شهاب تا لک اومر مرواستخراج او پروسس شر کت HABIB SHAHAB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,21261814.0,Afghanistan,2019
"حیات الله ولد حمیدالله, حیات الله",134804.0,Afghanistan,2019
"خان, نور الرحمن",64515.0,Afghanistan,2019
د امین کریمزی د شوکانو او مرمرو داستخراج اوپروسس شرکت AMEEN KARIMZAI TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,9816986.0,Afghanistan,2019
"دوست محمد فرزند محمد شاه, دوست محمد",46649.0,Afghanistan,2019
سلک رود مایننگ SILK ROAD MINING CO,291089.0,Afghanistan,2019
سین جیانگ جنگ تونگ  افغانستان  تکنالوژی سرویس کو ال تی دی SEIN JHONG JHENG TONG,41840.0,Afghanistan,2019
شرکت استخراج سنگ افغان مروارید لمتید AFGHAN MORWARID STONE MINING LTD,726167.0,Afghanistan,2019
شرکت استخراج معادن افغان اکتیف لمیتد AFGHAN ACTIVE MINING LTD,0.0,Afghanistan,2019
شرکت استخراج معادن افغان ایکو AFGHAN ECHO MINING CO,1300.0,Afghanistan,2019
شرکت استخراج معادن بهارکوهساران BAHAR KOHSARAN MINING CO,113050.0,Afghanistan,2019
شرکت استخراج معادن لیگان LEGAAN MINING CO,50.0,Afghanistan,2019
شرکت استخراج معادن ممتاز کوثر لمتید MUMTAZ KAWSAR MINING LTD,0.0,Afghanistan,2019
شرکت استخراج معادن یاسمین,88853.0,Afghanistan,2019
شرکت استخراج معدن ایگل راک EAGAL ROCK MINING CO,23691.0,Afghanistan,2019
شرکت استخراج معدن سرویس سنتر سترای ال ال سی SERVICE CENTER ALLC,11900.0,Afghanistan,2019
شرکت استخراج معدن پارمیس گلوبل PARMIS GLOBAL MINING CO,27744.0,Afghanistan,2019
شرکت استخراج وپروسس سنگ عرفان غزنوی لمتید URFAN GHAZNAWI STONE PRO LTD,8070.0,Afghanistan,2019
شرکت امانیه مایننگ AMANIA MINING COMPANY,22774748.0,Afghanistan,2019
شرکت تولید سنګ مرمر  شمشاد رحمن SHAMSHAD RAHMAN TALC PRO.CO,624234.0,Afghanistan,2019
شرکت ذوب آهن کتلیست KATALEST IRON MINING CO,37961.0,Afghanistan,2019
شرکت ساختمانی احمدی احمد ربی,720.0,Afghanistan,2019
شرکت ساختمانی اریانا سازه,72000.0,Afghanistan,2019
شرکت ساختمانی و سرکسازی افغان صداقت,487980.0,Afghanistan,2019
شرکت ساختمانی کاوون سلطانی,131625.0,Afghanistan,2019
شرکت صنعتی کرومایت برادران BROTHERS CROMITE MINING CO,1650.0,Afghanistan,2019
شرکت مسعود حامد فقیرزاده,1612738.0,Afghanistan,2019
شرکت مسعودعارف فقیرزاده,122789.0,Afghanistan,2019
شهاب محبوب تالک اومرمرو استخراج اوپروسس شرکت SSHAHAB MEHBOOB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,34108.0,Afghanistan,2019
"محمد  آگل ولد محمد امین, محمد آگل",195.0,Afghanistan,2019
"محمد عیسی ولد آغا گل, محمد عیسی",24704.0,Afghanistan,2019
"محمد یونس ولد محمد عیسی, محمد یونس",11704.0,Afghanistan,2019
نبی افغان دمعدن استخراج او پروسس شر کت NABI AFGHAN MINES EXTRACTION AND PROCESSING COMPANY,8783858.0,Afghanistan,2019
"واثق ولد ملنگ خان, واثق",48194.0,Afghanistan,2019
ANIO OIL&GAS SHA (ISH TRANS ATLANTIK ALBANIA LTD (ISHSTREAM OIL & GAS),166356745.0,Albania,2017
DITEKO SH.P.K,57085105.0,Albania,2017
ERVIN,0.0,Albania,2017
SHERWOOD INTERNATIONAL PETROLEUM LTD,38957699.0,Albania,2017
ZGURI SHPK,5234007.0,Albania,2017
“HIDROALBANIA ENERGJI” SHPK,30677706.0,Albania,2017
ERVIN,0.0,Albania,2018
BISSA GOLD SA,28541612869.0,Burkina Faso,2017
BURKINA MINING COMPANY SA (BMC),7904883852.0,Burkina Faso,2017
HOUNDE GOLD OPERATION SA,2930101476.0,Burkina Faso,2017
NANTOU MINING BURKINA FASO SA,4363530853.0,Burkina Faso,2017
NETIANA MINING COMPANY (NMC),1499699713.0,Burkina Faso,2017
ROXGOLD BURKINA FASO SARL,182480560.0,Burkina Faso,2017
ROXGOLD SANU SA,4673965741.0,Burkina Faso,2017
SEMAFO BOUNGOU SA,980719833.0,Burkina Faso,2017
SEMAFO BURKINA FASO SA,25787987976.0,Burkina Faso,2017
SOCIÉTÉ DES MINES DE SANBRADO SA,1320942827.0,Burkina Faso,2019
NETIANA MINING COMPANY (NMC),908900000.0,Burkina Faso,2020
SOCIÉTÉ DES MINES DE SANBRADO SA,9794640000.0,Burkina Faso,2020
AUTRES (SECTEUR ARTISANAL),2276630000.0,Cameroon,2017
AUTRES ACHETEURS,26609745413.0,Cote d'Ivoire,2017
AUTRES SOCIÉTÉS NON INCLUSES DANS LE PÉRIMÈTRE DE CONCILIATION,32227000000.0,Cote d'Ivoire,2017
LA MANCHA CI (FRANCE),135791793.0,Cote d'Ivoire,2017
LGL RESOURCES COTE D'IVOIRE,16885933.0,Cote d'Ivoire,2017
PERSEUS MINING CÔTE D'IVOIRE,847626755.0,Cote d'Ivoire,2017
SOCIETE DES MINES D'ITY (SMI),7069017463.0,Cote d'Ivoire,2017
SOCIÉTÉ NATIONALE D'OPÉRATIONS PÉTROLIÈRES DE CÔTE D'IVOIRE (PETROCI),73584503514.0,Cote d'Ivoire,2017
SOCIÉTÉ POUR LE DÉVELOPPEMENT MINIER DE LA CÔTE D'IVOIRE (SODEMI),104175253.0,Cote d'Ivoire,2017
BONDOUKOU MANGANESE SA (INDE),525434534.0,Cote d'Ivoire,2018
COMPAGNIE MINIERE DU LITTORAL (CML),605133865.0,Cote d'Ivoire,2018
ENI IVORY COAST LIMITED,333148252.0,Cote d'Ivoire,2018
SOCIETE DES MINES D'ITY (SMI),6337466154.0,Cote d'Ivoire,2018
SOCIÉTÉ DES MINES DE TONGON,36445956272.0,Cote d'Ivoire,2018
CNMC CONGO COMPAGNIE MINIERE SARL (CNMC SARL),5594516.140000001,Democratic Republic of Congo,2017
TENGYUAN COBALT & COPPER RESOURCES LTD CO (TCC SAR),11630823.780000001,Democratic Republic of Congo,2017
BARRICK PUEBLO VIEJO DOMINICAN CORPORATION,9872556842.0,Dominican Republic,2018
AL WAHA PETROLEUM CO LTD,1126326657.0,Iraq,2017
CHINA INTERNATIONAL UNITED PETROLEUM AND CHEMICALS CO.LTD. (UNIPEC),6755379057.0,Iraq,2017
CHINA NATIONAL UNITED OIL CORPORATION (CHINA OIL),1403238844.0,Iraq,2017
