GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Administrative fees for government services (1422E),Agriculture/Forestry,Block Inspection Fees,Liberia Revenue Authority -LRA,2100.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Administrative fees for government services (1422E),All sectors,Aircraft Inspection Fees,Liberia Civil Aviation Authority -LCAA,8680.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Administrative fees for government services (1422E),All sectors,Other administrative fees,Liberia Revenue Authority -LRA,534823.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Bonuses (1415E2),All sectors,Signature Fees/Signing Bonus,Liberia Revenue Authority -LRA,900.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Customs and other import duties (1151E),All sectors,Customs User Fees,Liberia Revenue Authority -LRA,1725097.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Customs and other import duties (1151E),All sectors,ECOWAS Trade Levy (ETL),Liberia Revenue Authority -LRA,903247.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Customs and other import duties (1151E),All sectors,Import Levy,Liberia Revenue Authority -LRA,1291039.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Customs and other import duties (1151E),All sectors,Research Vessels Tonnage Tax,Liberia Revenue Authority -LRA,,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Customs and other import duties (1151E),All sectors,Supply Vessel Annual Tonnage Tax,Liberia Revenue Authority -LRA,,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Delivered/paid to state-owned enterprise(s) (1415E32),All sectors,Fees & charges paid to NPA,National Port Authority -NPA,1987696.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Annual Training,National Oil Company of Liberia -NOCAL,125000.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,NOCAL / GOL Production shares under PSA,National Oil Company of Liberia -NOCAL,,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Social Welfare Contribution,National Oil Company of Liberia -NOCAL,150000.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Emission and pollution taxes (114522E),Oil & Gas,Hydrocarbon Development Fund,National Oil Company of Liberia -NOCAL,100000.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
"Fines, penalties, and forfeits (143E)",All sectors,GOL Fines,Liberia Revenue Authority -LRA,59223.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
From state-owned enterprises (1412E1),All sectors,Dividends to GOL,Liberia Revenue Authority -LRA,31387.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Agriculture,Rubber sales tax,Liberia Revenue Authority -LRA,993492.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",All sectors,GST,Liberia Revenue Authority -LRA,1216395.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Licence fees (114521E),Mining,Minerals License fees,Liberia Revenue Authority -LRA,801132.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Motor vehicle taxes (11451E),All sectors,Vehicle Registration Fee,Liberia Revenue Authority -LRA,837230.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
"Ordinary taxes on income, profits and capital gains (1112E1)",All sectors,Corporate Profits Tax / Turnover Tax,Liberia Revenue Authority -LRA,2948121.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Other rent payments (1415E5),Forestry,Area Fee,Liberia Revenue Authority -LRA,390898.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Other rent payments (1415E5),Mining/Oil and Gas/Agriculture,Surface Rental,Liberia Revenue Authority -LRA,2885477.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Other taxes payable by natural resource companies (116E),All sectors,Annual Social Contribution (County & Community),Liberia Revenue Authority -LRA,1606000.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Other taxes payable by natural resource companies (116E),All sectors,Contribution via GOL to University Depts (UL etc.),Liberia Revenue Authority -LRA,100000.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Other taxes payable by natural resource companies (116E),All sectors,"Other significant payments (> 10,000 USD)",Environmental Protection Authority - EPA,614553.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Other taxes payable by natural resource companies (116E),All sectors,Pre-Shipment / Destination Inspection (GOL's share),Liberia Revenue Authority -LRA,,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Other taxes payable by natural resource companies (116E),All sectors,Resident Permit Fee,Liberia Revenue Authority -LRA,985988.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Other taxes payable by natural resource companies (116E),All sectors,Work Permit Fee,Liberia Revenue Authority -LRA,1203258.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Other taxes payable by natural resource companies (116E),Forestry,Auction Fee,Liberia Revenue Authority -LRA,,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Other taxes payable by natural resource companies (116E),Forestry,Bid Premium,Liberia Revenue Authority -LRA,49487.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Other taxes payable by natural resource companies (116E),Forestry,Chain of Custody Management Fee (PSI),Liberia Revenue Authority -LRA,1.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Other taxes payable by natural resource companies (116E),Forestry,Forest Product Fee (processed materials),Liberia Revenue Authority -LRA,,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Other taxes payable by natural resource companies (116E),Forestry,Non Timber Forest Products (local & export collections),Liberia Revenue Authority -LRA,,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Other taxes payable by natural resource companies (116E),Forestry,Sawmill Permit Fees,Liberia Revenue Authority -LRA,,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Other taxes payable by natural resource companies (116E),Forestry,Stumpage Fee,Liberia Revenue Authority -LRA,2660978.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Other taxes payable by natural resource companies (116E),Mining,Scientific Research Fund,Liberia Revenue Authority -LRA,104000.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Royalties (1415E1),Mining,Royalty,Liberia Revenue Authority -LRA,8652474.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Taxes on exports (1152E),Forestry,Log Export Fees,Liberia Revenue Authority -LRA,2588017.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
Taxes on exports (1152E),Forestry,Timber Export Licence Fees,Liberia Revenue Authority -LRA,166892.0,USD,Liberia,LBR,2018,7/1/2017,6/30/2018
